Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
第１課 新しい一歩,いらっしゃいます,いらっしゃいます,irasshaimasu,bormoq/kelmoq/bo'lmoq (hurmat shakli),"go, come (respectful language fering re to someone else)",先生は研究室にいらっしゃいます。 (Ustoz tadqiqot xonasidalar.)
第１課 新しい一歩,お先に失礼します,おさきにしつれいします,osakinishitsureishimasu,sizdan oldin ketganim uchun kechirasiz,"""Excuse me for going ahead of you""",お先に失礼します。また明日。 (Sizdan oldin ketganim uchun kechirasiz. Ertagacha.)
第１課 新しい一歩,お年寄り,おとしより,otoshiyori,"keksa kishi, qariya",elderly person,電車でお年寄りに席を譲りました。 (Poyezdda keksaga joy berdim.)
第１課 新しい一歩,こちらへどうぞ,こちらへどうぞ,kochirahedouzo,bu yoqqa marhamat,"""Please come this way""","どうぞ、こちらへどうぞ。 (Marhamat, bu yoqqa o'ting.)"
第１課 新しい一歩,それでは,それでは,soredeha,"unda, shunday bo'lsa (gap boshida)","well, then (at beginning of a sentence)","それでは、会議を始めましょう。 (Unda, yig'ilishni boshlaymiz.)"
第１課 新しい一歩,つまらない,つまらない,tsumaranai,"zerikarli, qiziq emas",boring,この話は少しつまらないです。 (Bu hikoya biroz zerikarli.)
第１課 新しい一歩,では,では,deha,"u holda, unday bo'lsa","in that case, if so","では、また来週会いましょう。 (U holda, keyingi hafta ko'rishguncha.)"
第１課 新しい一歩,まず,まず,mazu,"avvalo, birinchi navbatda",at first (at beginning of a sentence),"まず、手を洗ってください。 (Avvalo, qo'lingizni yuving.)"
第１課 新しい一歩,よろしくお願いいたします,よろしくおねがいいたします,yoroshikuonegaiitashimasu,yaxshi hamkorlikka umid qilaman (juda rasmiy),"“I am looking forward to knowing you""",これからよろしくお願いいたします。 (Bundan buyon yaxshi hamkorlikka umid qilaman.)
第１課 新しい一歩,サイクリング・する,サイクリング・する,saikuringu-suru,velosiped uchmoq,do cycling,週末に公園でサイクリングします。 (Dam olish kuni bog'da velosiped uchaman.)
第１課 新しい一歩,チラシ,チラシ,chirashi,"reklama varaqasi, flayer","aflet, flyer",駅前で新しい店のチラシをもらいました。 (Bekat oldida yangi do'kon flayerini oldim.)
第１課 新しい一歩,ホームページ,ホームページ,hoomupeeji,"veb-sayt, bosh sahifa",website,大学のホームページで情報を確認しました。 (Universitet veb-saytida ma'lumotni tekshirdim.)
第１課 新しい一歩,入力・する,にゅうりょく・する,nyuuryoku-suru,kiritmoq (ma'lumot kiritish),input,パソコンに名前と住所を入力します。 (Kompyuterga ism va manzilni kiritaman.)
第１課 新しい一歩,募集・する,ぼしゅう・する,boshuu-suru,e'lon qilib yig'moq (ishga qabul e'lon qilmoq),"recruit, put out a call for",アルバイトを募集しています。 (Ishga qabul e'lon qilinmoqda.)
第１課 新しい一歩,半年,はんとし,hantoshi,yarim yil,half-year,日本に来てから半年が経ちました。 (Yaponiyaga kelganimga yarim yil bo'ldi.)
第１課 新しい一歩,参ります,まいります,mairimasu,"bormoq, kelmoq (kamtarona shakl)","go, come (humble language referring to oneself)",明日、１０時にそちらへ参ります。 (Ertaga soat 10 da u yerga boraman.)
第１課 新しい一歩,問い合わせ,といあわせ,toiawase,"so'rov, murojaat (ma'lumot so'rash)",inquiry,市役所に電話で問い合わせました。 (Shahar hokimiyatiga telefon qilib ma'lumot so'radim.)
第１課 新しい一歩,大好き（な）,だいすき（な）,daisukina,"juda yaxshi ko'radigan, sevimli",favorite,日本のアニメが大好きです。 (Yapon animesini juda yaxshi ko'raman.)
第１課 新しい一歩,失礼します,しつれいします,shitsureishimasu,kechirasiz (kirish/chiqishda aytiladi),"""Excuse me""","「失礼します」と言って部屋に入りました。 (""Kechirasiz"" deb xonaga kirdim.)"
第１課 新しい一歩,字幕,じまく,jimaku,subtitr (kinoda yozuv),subtitles,日本語の字幕を見ながら映画を見ます。 (Yaponcha subtitr bilan film ko'raman.)
第１課 新しい一歩,学生証,がくせいしょう,gakuseishou,talabalik guvohnomasi,student ID,図書館で学生証を見せました。 (Kutubxonada talabalik guvohnomasini ko'rsatdim.)
第１課 新しい一歩,少々お待ちください,少々おまちください,少々omachikudasai,biroz kutib turing (iltimos),"""Please wait a moment""",少々お待ちください。すぐ戻ります。 (Biroz kutib turing. Darhol qaytaman.)
第１課 新しい一歩,履歴書,りれきしょ,rirekisho,"rezyume, CV","resume, CV",会社に履歴書を送りました。 (Kompaniyaga rezyumeni jo'natdim.)
第１課 新しい一歩,希望・する,きぼう・する,kibou-suru,"xohlamoq, istamoq",desire,日本での就職を希望しています。 (Yaponiyada ishga joylashishni istayman.)
第１課 新しい一歩,建物,たてもの,tatemono,bino,building,あそこに高い建物が見えます。 (Aniq joyda baland bino ko'rinmoqda.)
第１課 新しい一歩,得意（な）,とくい（な）,tokuina,"biror ishni yaxshi qiladigan, usta",good at (something),彼女は料理が得意です。 (U ovqat pishirishga usta.)
第１課 新しい一歩,応援・する,おうえん・する,ouen-suru,"qo'llab-quvvatlamoq, dalda bermoq","encourage, cheer on",友達の試合をみんなで応援しました。 (Do'stimizning musobaqasini hamma qo'llab-quvvatladi.)
第１課 新しい一歩,思い出す,おもいだす,omoidasu,"eslamoq, yodga olmoq","remember, recall",子供のころの思い出を思い出しました。 (Bolalikdagi xotiralarni yodga oldim.)
第１課 新しい一歩,意見,いけん,iken',"fikr, mulohaza",opinion,自分の意見をはっきり言いました。 (O'z fikrimni aniq aytdim.)
第１課 新しい一歩,方,かた,kata,"kishi, inson (boshqa odamga nisbatan hurmat shakli)",person (respectful language referring to someone else),あの方はどちら様ですか。 (U kishi kimlar?)
第１課 新しい一歩,日常会話,にちじょうかいわ,nichijoukaiwa,"kundalik suhbat, kundalik so'zlashuv",daily conversation,日本語で日常会話ができるようになりたいです。 (Yapon tilida kundalik suhbat qila oladigan bo'lishni xohlayman.)
第１課 新しい一歩,朝早く,あさはやく,asahayaku,"erta tongda, saharda",early morning,毎朝早く起きて散歩をします。 (Har tong erta turib sayr qilaman.)
第１課 新しい一歩,楽器,がっき,gakki,musiqa asbobi,musical instrument,何か楽器を演奏できますか。 (Biror musiqa asbobini chala olasizmi?)
第１課 新しい一歩,歴史,れきし,rekishi,tarix,history,日本の古い歴史に興味があります。 (Yaponiyaning qadimiy tarixiga qiziqaman.)
第１課 新しい一歩,無理（な）,むり（な）,murina,"iloji yo'q, amalga oshirib bo'lmaydigan",unable to do (something),無理な計画は立てないほうがいいです。 (Amalga oshirib bo'lmaydigan reja tuzmagan ma'qul.)
第１課 新しい一歩,申します,もうします,moushimasu,...deb ataladi (o'z ismini aytishning kamtarona shakli),"call oneself (humble language), my name is",私はファルホドと申します。 (Mening ismim Farhod deb ataladi.)
第１課 新しい一歩,者,もの,mono,"kishi, shaxs (o'ziga nisbatan kamtarona shakl)",person (humble language referring to oneself),田中という者が参りました。 (Tanaka degan kishi yetib keldi.)
第１課 新しい一歩,聞き取る,ききとる,kikitoru,eshitib tushunmoq,hear and understand,先生の言葉をしっかり聞き取ります。 (Ustozning gaplarini yaxshilab eshitib tushunaman.)
第１課 新しい一歩,自分,じぶん,jibun',"o'zi, o'z-o'zidan",oneself,自分の力で問題を解決しました。 (O'z kuchim bilan muammoni hal qildim.)
第１課 新しい一歩,苦手（な）,にがて（な）,nigatena,"biror ishni yaxshi qila olmaydigan, noqulay",bad at (something),人前で話すのが苦手です。 (Odamlar oldida gapirishga qiynalaman.)
第１課 新しい一歩,覚える,おぼえる,oboeru,"eslab qolmoq, yodlamoq","remember, memorize",新しい単語をノートに書いて覚えます。 (Yangi so'zlarni daftarga yozib yodlayman.)
第１課 新しい一歩,言葉,ことば,kotoba,"so'z, til, ibora","words, language",丁寧な言葉を使って話しましょう。 (Muloyim so'zlarni ishlatib gaplashaylik.)
第１課 新しい一歩,話,はなし,hanashi,"suhbat, gap, hikoya",conversation,先生と将来の話をしました。 (Ustoz bilan kelajak haqida gaplashdim.)
第１課 新しい一歩,資格外活動許可書,しかくがいかつどうきょかしょ,shikakugaikatsudoukyokasho,viza maqomidan tashqari faoliyat uchun ruxsatnoma,permission for engaging in activity outside visa status,資格外活動許可書の大切さを改めて実感しました。 (viza maqomidan tashqari faoliyat uchun ruxsatnomaning muhimligini yana bir bor his qildim.)
第１課 新しい一歩,速い,はやい,hayai,"tez, jadal",fast,この電車はとても速いです。 (Bu poyezd juda tez.)
第１課 新しい一歩,遅い,おそい,osoi,sekin; kech,slow,足が遅いので走るのが嫌いです。 (Sekin yurganim uchun yugurishni yoqtirmayman.)
第１課 新しい一歩,野外ライブ,やがいライブ,yagairaibu,ochiq havoda jonli konsert,live outdoor concert,野外ライブの大切さを改めて実感しました。 (ochiq havoda jonli konsertning muhimligini yana bir bor his qildim.)
第１課 新しい一歩,面接,めんせつ,mensetsu,"suhbat, intervyu",interview,明日、アルバイトの面接があります。 (Ertaga yarim kunlik ish suhbati bor.)
第１課 新しい一歩,（お）刺身,（お）さしみ,osashimi,sashimi (xom baliq bo'laklari),"sashimi (thinly sliced, raw seafood)",新鮮な刺身を美味しくいただきました。 (Yangi sashimini mazza qilib tanovul qildik.)
第１課 新しい一歩,～個,～こ,~ko,dona (hisob so'zi),things (counter word),個と親しく話をしました。 (dona bilan yaqindan suhbatlashdim.)
第２課 楽しいショッピング,いかがですか,いかがですか,ikagadesuka,Qanday? (muloyim savol),"""How is it?""",いかがですかの大切さを改めて実感しました。 (Qanday?ning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,うれしい,うれしい,ureshii,"xursand, quvnoq","happy, glad","とてもうれしいので、気をつけてください。 (Juda xursand bo'lgani uchun, ehtiyot bo'ling.)"
